"MPIO_CDPMP","discap4t5","disbog4t5","el_4t5n","em_4t5n","cs_4t5n","cw_4t5n","el_4t5d","em_4t5d","cs_4t5d","cw_4t5d","pct_4t5x","el_4t5x","em_4t5x","cs_4t5x","cw_4t5x","el_4t5xs","em_4t5xs","cs_4t5xs","cw_4t5xs","FID_4t5"
"05001",0,264.339019775391,0.375,0,0,0.6,0,0.889,1,0,0.208001746685597,0.0780006550070988,0.704086447196504,0.791998253314403,0.124801048011358,0.208001730702067,0.791998269297933,0.791998269297933,0.208001730702067,282
"05002",58.2008743286133,209.005447387695,0.375,0,0,0.6,0.375,0,0,0.6,0.16446114599496,0.0616729297481101,0.74279404121048,0.83553885400504,0.0986766875969762,0.164461133357232,0.835538866642768,0.835538866642768,0.164461133357232,305
"05004",63.8546333312988,326.940795898438,0.375,0,0,0.6,0.375,0,0,0.6,0.257261514654316,0.0964730679953685,0.660294513472313,0.742738485345684,0.15435690879259,0.257261494885505,0.742738505114495,0.742738505114495,0.257261494885505,304
"05021",61.1142158508301,241.82600402832,0.375,0,0,0.6,0.375,0,0,0.6,0.190286819080395,0.0713575571551482,0.719835017837529,0.809713180919605,0.114172091448237,0.190286804458138,0.809713195541862,0.809713195541862,0.190286804458138,303
"05030",29.8788566589355,247.85627746582,0.375,0,0,0.6,0.375,0,0,0.6,0.195031890046678,0.0731369587675041,0.715616649748504,0.804968109953322,0.117019134028007,0.195031875059794,0.804968124940206,0.804968124940206,0.195031875059794,302
"05031",105.130867004395,299.728210449219,0.375,0,0,0.6,0.375,0,0,0.6,0.235848613486421,0.0884432300574081,0.679330582610571,0.764151386513579,0.141509168091853,0.235848595363048,0.764151404636952,0.764151404636952,0.235848595363048,301
"05034",76.3103790283203,239.198257446289,0.375,0,0,0.6,0.375,0,0,0.6,0.188219111182507,0.0705821666934401,0.721673210158751,0.811780888817493,0.112931466709504,0.188219096719139,0.811780903280861,0.811780903280861,0.188219096719139,300
"05036",19.2576770782471,257.582244873047,0.375,0,0,0.6,0.375,0,0,0.6,0.202685009932759,0.0760068787247847,0.708813026169777,0.797314990067241,0.121611005959655,0.202684994357784,0.797315005642215,0.797315005642216,0.202684994357784,299
"05038",72.6895294189453,301.724731445312,0.375,0,0,0.6,0.375,0,0,0.6,0.23741962579794,0.0890323596742276,0.677933952665631,0.76258037420206,0.142451775478764,0.237419607553845,0.762580392446155,0.762580392446155,0.237419607553845,298
"05040",117.609687805176,329.563659667969,0.375,0,0,0.6,0.375,0,0,0.6,0.259325380389478,0.0972470176460544,0.658459736833754,0.740674619610522,0.155595228233687,0.259325360462074,0.740674639537926,0.740674639537926,0.259325360462074,297
"05042",42.0737800598145,306.244720458984,0.375,0,0,0.6,0.375,0,0,0.6,0.240976291819636,0.0903661094323635,0.674772076572344,0.759023708180364,0.144585775091782,0.240976273302235,0.759023726697765,0.759023726697765,0.240976273302235,296
"05044",29.0991840362549,285.700256347656,0.375,0,0,0.6,0.375,0,0,0.6,0.22481036813759,0.0843038880515962,0.689143582725682,0.77518963186241,0.134886220882554,0.224810350862431,0.775189649137569,0.775189649137569,0.224810350862431,295
"05045",209.224334716797,472.950897216797,0.375,0,0,0.6,0.375,0,0,0.6,0.372153202358104,0.139557450884289,0.558155803103645,0.627846797641896,0.223291921414863,0.372153173760643,0.627846826239357,0.627846826239357,0.372153173760643,404
"05051",269.674377441406,526.132934570312,0.375,0,0,0.6,0.375,0,0,0.6,0.414000814077438,0.155250305279039,0.520953276285157,0.585999185922562,0.248400488446463,0.414000782264271,0.585999217735729,0.585999217735729,0.414000782264271,294
"05055",92.3186340332031,173.791244506836,0.375,0,0,0.6,0.375,0,0,0.6,0.136751972700819,0.0512819897628072,0.767427496268972,0.863248027299181,0.0820511836204914,0.136751962192353,0.863248037807647,0.863248037807647,0.136751962192353,293
"05059",21.4147357940674,266.160552978516,0.375,0,0,0.6,0.375,0,0,0.6,0.209435065490432,0.078538149558912,0.702812226779006,0.790564934509568,0.125661039294259,0.209435049396761,0.790564950603239,0.790564950603239,0.209435049396761,292
"05079",40.0173225402832,259.876953125,0.375,0,0,0.6,0.375,0,0,0.6,0.204490658319235,0.0766839968697132,0.7072078047542,0.795509341680765,0.122694394991541,0.204490642605509,0.795509357394491,0.795509357394491,0.204490642605509,291
"05086",38.4839134216309,294.304534912109,0.375,0,0,0.6,0.375,0,0,0.6,0.231580859198261,0.0868428221993477,0.683124616172746,0.768419140801739,0.138948515518956,0.231580841402835,0.768419158597165,0.768419158597165,0.231580841402835,290
"05088",11.4078960418701,267.415771484375,0.375,0,0,0.6,0.375,0,0,0.6,0.210422765459633,0.0789085370473625,0.701934161506386,0.789577234540367,0.12625365927578,0.210422749290064,0.789577250709936,0.789577250709936,0.210422749290064,289
"05091",72.2875289916992,248.967926025391,0.375,0,0,0.6,0.375,0,0,0.6,0.195906618424984,0.0734649819093689,0.714839016220189,0.804093381575016,0.11754397105499,0.195906603370883,0.804093396629117,0.804093396629117,0.195906603370883,288
"05093",33.6572685241699,279.122802734375,0.375,0,0,0.6,0.375,0,0,0.6,0.219634734810855,0.0823630255540706,0.69374472075315,0.780365265189145,0.131780840886513,0.219634717933408,0.780365282066592,0.780365282066592,0.219634717933408,287
"05101",61.5926818847656,256.47705078125,0.375,0,0,0.6,0.375,0,0,0.6,0.201815360413306,0.0756807601549898,0.709586144592571,0.798184639586694,0.121089216247984,0.201815344905158,0.798184655094842,0.798184655094842,0.201815344905158,283
"05107",91.7688827514648,337.512298583984,0.375,0,0,0.6,0.375,0,0,0.6,0.265579965050151,0.0995924868938066,0.652899411070416,0.734420034949849,0.159347979030091,0.265579944642124,0.734420055357876,0.734420055357876,0.265579944642124,284
"05113",64.9544906616211,328.099090576172,0.375,0,0,0.6,0.375,0,0,0.6,0.258172947693411,0.0968148553850293,0.659484249500557,0.741827052306589,0.154903768616047,0.258172927854563,0.741827072145437,0.741827072145437,0.258172927854563,285
"05120",153.962219238281,372.009368896484,0.375,0,0,0.6,0.375,0,0,0.6,0.292724844707467,0.1097718167653,0.628767613055062,0.707275155292533,0.17563490682448,0.292724822213539,0.707275177786461,0.707275177786461,0.292724822213539,286
"05125",37.7952842712402,298.101654052734,0.375,0,0,0.6,0.375,0,0,0.6,0.234568717041928,0.0879632688907231,0.680468410549726,0.765431282958072,0.140741230225157,0.234568699016906,0.765431300983094,0.765431300983094,0.234568699016906,351
"05129",24.818962097168,244.527633666992,0.375,0,0,0.6,0.375,0,0,0.6,0.192412663703027,0.0721547488886352,0.717945141968009,0.807587336296973,0.115447598221816,0.192412648917413,0.807587351082587,0.807587351082587,0.192412648917413,350
"05134",94.0010604858398,319.755401611328,0.375,0,0,0.6,0.375,0,0,0.6,0.25160750805471,0.0943528155205162,0.665320925339363,0.74839249194529,0.150964504832826,0.251607488720372,0.748392511279628,0.748392511279628,0.251607488720372,349
