"MPIO_CDPMP","REGION","Card_6t9","elsnl_6t9","elsnmr_6t9","clrgst_6t9","clrgwk_6t9","FID_6t9"
"05411","Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1,383
"05425","Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1,382
"05440","Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1,381
"05467","Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1,380
"05475","Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1,402
"05480","Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1,379
"05483","Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1,378
"05490","Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1,377
"05495","Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1,376
"05501","Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1,375
"05541","Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1,374
"05543","Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1,373
"05576","Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1,372
"05579","Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1,371
"05585","Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1,370
"05591","Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1,369
"05604","Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1,368
"05607","Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1,367
"05615","Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1,366
"05628","Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1,365
"05631","Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1,1120
"05642","Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1,364
"05647","Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1,363
"05649","Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1,362
"05652","Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1,361
"05656","Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1,360
"05658","Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1,359
"05659","Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1,358
"05660","Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1,357
"05664","Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1,356
"05665","Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1,355
"05667","Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1,354
