"FID_15t16","Petro_15t16","Duque_15t16","vtotal_15t16","MOV18_15t16","elsnl_15","elsnmr_15","clrgst_15","clrgwk_15","elsnl_16","elsnmr_16","clrgst_16","clrgwk_16"
78,12458,6665,20411,-0.28382,NA,NA,NA,NA,0,0,0,0.1
79,2029,4059,6540,0.3104,0,0.222,0.333,0,NA,NA,NA,NA
80,2446,4683,7648,0.29249,0,0.222,0.333,0,NA,NA,NA,NA
81,5061,10048,16154,0.30872,0,0.222,0.333,0,NA,NA,NA,NA
82,3152,3625,7278,0.06499,NA,NA,NA,NA,NA,NA,NA,NA
83,5548,10710,17570,0.2938,0,0.222,0.333,0,NA,NA,NA,NA
84,1168,4479,5931,0.55825,0,0.222,0.333,0,NA,NA,NA,NA
85,1809,5760,7979,0.49517,0,0.222,0.333,0,NA,NA,NA,NA
86,35560,43734,85706,0.09537,NA,NA,NA,NA,NA,NA,NA,NA
87,588,1467,2195,0.40046,0,0.222,0.333,0,NA,NA,NA,NA
88,532,2985,3687,0.66531,0,0.222,0.333,0,NA,NA,NA,NA
89,2213,2907,5348,0.12977,0,0.222,0.333,0,NA,NA,NA,NA
90,3112,3213,6832,0.01478,NA,NA,NA,NA,NA,NA,NA,NA
91,32720,15797,51433,-0.32903,NA,NA,NA,NA,0,0,0,0.1
92,11202,6801,19150,-0.22982,NA,NA,NA,NA,0,0,0,0.1
93,1346,4276,5953,0.49219,0,0.222,0.333,0,NA,NA,NA,NA
94,2961,11362,15370,0.54658,0,0.222,0.333,0,NA,NA,NA,NA
95,2256,3711,6286,0.23147,0,0.222,0.333,0,NA,NA,NA,NA
96,28498,19500,51291,-0.17543,NA,NA,NA,NA,0,0,0,0.1
97,1686,4966,6966,0.47086,0,0.222,0.333,0,NA,NA,NA,NA
98,5173,10373,16388,0.31731,0,0.222,0.333,0,NA,NA,NA,NA
99,62939,22908,89651,-0.44652,NA,NA,NA,NA,0,0,0,0.1
100,13979,6354,21153,-0.36047,NA,NA,NA,NA,0,0,0,0.1
101,1430,1026,2547,-0.15862,NA,NA,NA,NA,0,0,0,0.1
102,12043,1790,14189,-0.7226,NA,NA,NA,NA,0,0,0,0.1
103,3952,2166,6347,-0.28139,NA,NA,NA,NA,0,0,0,0.1
104,1355,1229,2711,-0.04648,NA,NA,NA,NA,NA,NA,NA,NA
105,4919,594,5666,-0.76333,NA,NA,NA,NA,0,0,0,0.1
106,1832,1043,2984,-0.26441,NA,NA,NA,NA,0,0,0,0.1
107,10681,1221,12195,-0.77573,NA,NA,NA,NA,0,0,0,0.1
108,5240,3580,9390,-0.17678,NA,NA,NA,NA,0,0,0,0.1
109,3861,606,4665,-0.69775,NA,NA,NA,NA,0,0,0,0.1
110,12987,6274,20333,-0.33015,NA,NA,NA,NA,0,0,0,0.1
111,2837,1770,4812,-0.22174,NA,NA,NA,NA,0,0,0,0.1
112,2194,3259,5674,0.1877,0,0.222,0.333,0,NA,NA,NA,NA
113,5716,3007,9110,-0.29737,NA,NA,NA,NA,0,0,0,0.1
114,1405,2571,4115,0.28335,0,0.222,0.333,0,NA,NA,NA,NA
115,3745,2930,6961,-0.11708,NA,NA,NA,NA,0,0,0,0.1
116,3011,1943,5155,-0.20718,NA,NA,NA,NA,0,0,0,0.1
117,4271,1784,6231,-0.39913,NA,NA,NA,NA,0,0,0,0.1
118,2431,298,2775,-0.76865,NA,NA,NA,NA,0,0,0,0.1
119,944,2332,3400,0.40824,0,0.222,0.333,0,NA,NA,NA,NA
120,2874,1616,4668,-0.26949,NA,NA,NA,NA,0,0,0,0.1
121,3315,380,3761,-0.78038,NA,NA,NA,NA,0,0,0,0.1
122,4489,3302,8260,-0.1437,NA,NA,NA,NA,0,0,0,0.1
123,9933,1581,11781,-0.70894,NA,NA,NA,NA,0,0,0,0.1
124,2734,1978,4929,-0.15338,NA,NA,NA,NA,0,0,0,0.1
125,1944,1217,3268,-0.22246,NA,NA,NA,NA,0,0,0,0.1
126,4256,1209,5621,-0.54207,NA,NA,NA,NA,0,0,0,0.1
127,116029,47331,171926,-0.39958,NA,NA,NA,NA,0,0,0,0.1
128,999,3049,4178,0.49067,0,0.222,0.333,0,NA,NA,NA,NA
129,2047,1321,3516,-0.20648,NA,NA,NA,NA,0,0,0,0.1
130,2057,1655,3873,-0.1038,NA,NA,NA,NA,0,0,0,0.1
131,2274,1404,3806,-0.22859,NA,NA,NA,NA,0,0,0,0.1
132,1151,1858,3140,0.22516,0,0.222,0.333,0,NA,NA,NA,NA
133,1666,1474,3298,-0.05822,NA,NA,NA,NA,NA,NA,NA,NA
134,2837,6253,9437,0.36198,0,0.222,0.333,0,NA,NA,NA,NA
135,2340,1116,3615,-0.33859,NA,NA,NA,NA,0,0,0,0.1
136,1795,1089,3038,-0.23239,NA,NA,NA,NA,0,0,0,0.1
137,1476,1272,2901,-0.07032,NA,NA,NA,NA,NA,NA,NA,NA
138,1884,1265,3230,-0.19164,NA,NA,NA,NA,0,0,0,0.1
139,6353,1340,7821,-0.64097,NA,NA,NA,NA,0,0,0,0.1
140,2808,1733,4726,-0.22747,NA,NA,NA,NA,0,0,0,0.1
141,3614,2127,5974,-0.24891,NA,NA,NA,NA,0,0,0,0.1
142,2171,1060,3299,-0.33677,NA,NA,NA,NA,0,0,0,0.1
143,2714,3099,5994,0.06423,NA,NA,NA,NA,NA,NA,NA,NA
144,13679,4398,18851,-0.49233,NA,NA,NA,NA,0,0,0,0.1
145,3610,1440,5156,-0.42087,NA,NA,NA,NA,0,0,0,0.1
146,3136,1545,4907,-0.32423,NA,NA,NA,NA,0,0,0,0.1
147,2554,439,3078,-0.68713,NA,NA,NA,NA,0,0,0,0.1
148,3531,4227,8054,0.08642,NA,NA,NA,NA,NA,NA,NA,NA
149,3186,1732,5051,-0.28786,NA,NA,NA,NA,0,0,0,0.1
150,3238,3656,7179,0.05823,NA,NA,NA,NA,NA,NA,NA,NA
151,1408,1701,3203,0.09148,NA,NA,NA,NA,NA,NA,NA,NA
152,7133,1756,9096,-0.59114,NA,NA,NA,NA,0,0,0,0.1
153,5107,6801,12518,0.13533,0,0.222,0.333,0,NA,NA,NA,NA
154,4175,1330,5671,-0.50168,NA,NA,NA,NA,0,0,0,0.1
155,3374,359,3825,-0.78824,NA,NA,NA,NA,0,0,0,0.1
156,2118,908,3189,-0.37943,NA,NA,NA,NA,0,0,0,0.1
157,2667,953,3711,-0.46187,NA,NA,NA,NA,0,0,0,0.1
158,1861,1332,3298,-0.1604,NA,NA,NA,NA,0,0,0,0.1
159,24775,16842,44421,-0.17859,NA,NA,NA,NA,0,0,0,0.1
160,10742,3473,14540,-0.49993,NA,NA,NA,NA,0,0,0,0.1
161,2700,179,2934,-0.85924,NA,NA,NA,NA,0,0,0,0.1
162,3155,307,3502,-0.81325,NA,NA,NA,NA,0,0,0,0.1
163,1344,536,1942,-0.41607,NA,NA,NA,NA,0,0,0,0.1
164,3348,869,4356,-0.5691,NA,NA,NA,NA,0,0,0,0.1
165,4608,227,4896,-0.89481,NA,NA,NA,NA,0,0,0,0.1
166,5671,908,6754,-0.70521,NA,NA,NA,NA,0,0,0,0.1
167,3302,2549,6222,-0.12102,NA,NA,NA,NA,0,0,0,0.1
168,4956,972,6081,-0.65516,NA,NA,NA,NA,0,0,0,0.1
169,1270,451,1764,-0.46429,NA,NA,NA,NA,0,0,0,0.1
170,2135,337,2528,-0.71123,NA,NA,NA,NA,0,0,0,0.1
171,2093,213,2342,-0.80273,NA,NA,NA,NA,0,0,0,0.1
172,4292,765,5199,-0.6784,NA,NA,NA,NA,0,0,0,0.1
173,1608,437,2092,-0.55975,NA,NA,NA,NA,0,0,0,0.1
174,2510,444,3010,-0.68638,NA,NA,NA,NA,0,0,0,0.1
175,1168,633,1856,-0.28825,NA,NA,NA,NA,0,0,0,0.1
176,3275,5326,9018,0.22743,0,0.222,0.333,0,NA,NA,NA,NA
177,542,120,681,-0.61968,NA,NA,NA,NA,0,0,0,0.1
178,41,58,101,0.16832,0,0.222,0.333,0,NA,NA,NA,NA
179,65,170,241,0.43568,0,0.222,0.333,0,NA,NA,NA,NA
180,43,98,144,0.38194,0,0.222,0.333,0,NA,NA,NA,NA
181,9,23,33,0.42424,0,0.222,0.333,0,NA,NA,NA,NA
182,10,11,23,0.04348,NA,NA,NA,NA,NA,NA,NA,NA
183,90,60,156,-0.19231,NA,NA,NA,NA,0,0,0,0.1
184,22,7,31,-0.48387,NA,NA,NA,NA,0,0,0,0.1
185,210,1216,1462,0.6881,0,0.222,0.333,0,NA,NA,NA,NA
186,1580,4721,6608,0.47533,0,0.222,0.333,0,NA,NA,NA,NA
187,361,2768,3229,0.74543,0,0.222,0.333,0,NA,NA,NA,NA
188,3213,1469,4846,-0.35988,NA,NA,NA,NA,0,0,0,0.1
189,19803,47707,71424,0.39068,0,0.222,0.333,0,NA,NA,NA,NA
190,4896,12689,18941,0.41144,0,0.222,0.333,0,NA,NA,NA,NA
191,259,902,1197,0.53718,0,0.222,0.333,0,NA,NA,NA,NA
192,315,117,458,-0.43231,NA,NA,NA,NA,0,0,0,0.1
193,1290,5047,6638,0.56598,0,0.222,0.333,0,NA,NA,NA,NA
194,1784,4943,7151,0.44176,0,0.222,0.333,0,NA,NA,NA,NA
195,491,3488,4105,0.73009,0,0.222,0.333,0,NA,NA,NA,NA
196,860,3097,4111,0.54415,0,0.222,0.333,0,NA,NA,NA,NA
197,582,3978,4685,0.72487,0,0.222,0.333,0,NA,NA,NA,NA
198,189,574,795,0.48428,0,0.222,0.333,0,NA,NA,NA,NA
