"MPIO_CDPMP","VAM18_2t3","FID_2t3","PBID18_2t3","eCDF_2t3d","eCDF_2t3m","el_c2d","em_c2d","cs_c2d","cw_c2d","el_c3d","em_c3d","cs_c3d","cw_c3d","el_c2m","em_c2m","cs_c2m","cw_c2m","el_c3m","em_c3m","cs_c3m","cw_c3m"
"05145",64.9018175701541,346,141680.080332056,0.999044890162369,0.237076648841355,0.874164278892073,0.110893982808023,0,0.999044890162369,0.124880611270296,0.6663629417383,0.999044890162369,0,0.207442067736185,0.0263155080213904,0,0.237076648841355,0.0296345811051693,0.158130124777184,0.237076648841355,0
"05147",1072.43279085765,345,141680.080332056,0.999044890162369,0.914438502673797,0.874164278892073,0.110893982808023,0,0.999044890162369,0.124880611270296,0.6663629417383,0.999044890162369,0,0.800133689839572,0.101502673796791,0,0.914438502673797,0.114304812834225,0.609930481283423,0.914438502673797,0
"05148",592.818761175642,344,141680.080332056,0.999044890162369,0.850267379679144,0.874164278892073,0.110893982808023,0,0.999044890162369,0.124880611270296,0.6663629417383,0.999044890162369,0,0.743983957219251,0.094379679144385,0,0.850267379679144,0.106283422459893,0.567128342245989,0.850267379679144,0
"05154",1179.32388471517,342,141680.080332056,0.999044890162369,0.918894830659537,0.874164278892073,0.110893982808023,0,0.999044890162369,0.124880611270296,0.6663629417383,0.999044890162369,0,0.804032976827095,0.101997326203209,0,0.918894830659537,0.114861853832442,0.612902852049911,0.918894830659537,0
"05172",880.266936199826,341,141680.080332056,0.999044890162369,0.894830659536542,0.874164278892073,0.110893982808023,0,0.999044890162369,0.124880611270296,0.6663629417383,0.999044890162369,0,0.782976827094474,0.0993262032085561,0,0.894830659536542,0.111853832442068,0.596852049910873,0.894830659536542,0
"05190",129.185579321923,340,141680.080332056,0.999044890162369,0.474153297682709,0.874164278892073,0.110893982808023,0,0.999044890162369,0.124880611270296,0.6663629417383,0.999044890162369,0,0.414884135472371,0.0526310160427808,0,0.474153297682709,0.0592691622103387,0.316260249554367,0.474153297682709,0
"05150",44.2679961326005,343,141680.080332056,0.999044890162369,0.13458110516934,0.874164278892073,0.110893982808023,0,0.999044890162369,0.124880611270296,0.6663629417383,0.999044890162369,0,0.117758467023173,0.0149385026737968,0,0.13458110516934,0.0168226381461676,0.0897655971479501,0.13458110516934,0
"05237",406.655935756823,335,141680.080332056,0.999044890162369,0.79144385026738,0.874164278892073,0.110893982808023,0,0.999044890162369,0.124880611270296,0.6663629417383,0.999044890162369,0,0.692513368983957,0.0878502673796791,0,0.79144385026738,0.0989304812834225,0.527893048128342,0.79144385026738,0
"05240",216.345180597531,334,141680.080332056,0.999044890162369,0.650623885918004,0.874164278892073,0.110893982808023,0,0.999044890162369,0.124880611270296,0.6663629417383,0.999044890162369,0,0.569295900178253,0.0722192513368984,0,0.650623885918004,0.0813279857397504,0.433966131907308,0.650623885918004,0
"05250",848.911598308015,333,141680.080332056,0.999044890162369,0.888591800356506,0.874164278892073,0.110893982808023,0,0.999044890162369,0.124880611270296,0.6663629417383,0.999044890162369,0,0.777517825311943,0.0986336898395722,0,0.888591800356506,0.111073975044563,0.59269073083779,0.888591800356506,0
"05264",358.38687253515,332,141680.080332056,0.999044890162369,0.780748663101604,0.874164278892073,0.110893982808023,0,0.999044890162369,0.124880611270296,0.6663629417383,0.999044890162369,0,0.683155080213904,0.0866631016042781,0,0.780748663101604,0.0975935828877005,0.52075935828877,0.780748663101604,0
"05266",8983.04441551708,331,141680.080332056,0.999044890162369,0.992869875222816,0.874164278892073,0.110893982808023,0,0.999044890162369,0.124880611270296,0.6663629417383,0.999044890162369,0,0.868761140819964,0.110208556149733,0,0.992869875222816,0.124108734402852,0.662244206773619,0.992869875222816,0
"05282",350.58460495141,330,141680.080332056,0.999044890162369,0.776292335115864,0.874164278892073,0.110893982808023,0,0.999044890162369,0.124880611270296,0.6663629417383,0.999044890162369,0,0.679255793226381,0.086168449197861,0,0.776292335115864,0.0970365418894831,0.517786987522282,0.776292335115864,0
"05284",193.704980505634,399,141680.080332056,0.999044890162369,0.611408199643494,0.874164278892073,0.110893982808023,0,0.999044890162369,0.124880611270296,0.6663629417383,0.999044890162369,0,0.534982174688057,0.0678663101604278,0,0.611408199643494,0.0764260249554367,0.40780926916221,0.611408199643494,0
"05306",54.0383628531359,329,141680.080332056,0.999044890162369,0.184491978609626,0.874164278892073,0.110893982808023,0,0.999044890162369,0.124880611270296,0.6663629417383,0.999044890162369,0,0.161430481283422,0.0204786096256684,0,0.184491978609626,0.0230614973262032,0.12305614973262,0.184491978609626,0
"05308",2026.78510363373,397,141680.080332056,0.999044890162369,0.944741532976827,0.874164278892073,0.110893982808023,0,0.999044890162369,0.124880611270296,0.6663629417383,0.999044890162369,0,0.826648841354724,0.104866310160428,0,0.944741532976827,0.118092691622103,0.630142602495544,0.944741532976827,0
"05310",319.742014659961,396,141680.080332056,0.999044890162369,0.75668449197861,0.874164278892073,0.110893982808023,0,0.999044890162369,0.124880611270296,0.6663629417383,0.999044890162369,0,0.662098930481283,0.0839919786096257,0,0.75668449197861,0.0945855614973262,0.504708556149733,0.75668449197861,0
"05313",80.5062171866786,395,141680.080332056,0.999044890162369,0.318181818181818,0.874164278892073,0.110893982808023,0,0.999044890162369,0.124880611270296,0.6663629417383,0.999044890162369,0,0.278409090909091,0.0353181818181818,0,0.318181818181818,0.0397727272727273,0.212227272727273,0.318181818181818,0
