MPIO_CDPMP,elsnlfc,elsnmrfc,clrgstch,clrgwkch
85001,0.125,0,0.111,0.3
85010,0.125,0,0.111,0.3
85015,0.125,0,0.111,0.3
85136,0.125,0,0.111,0.3
85139,0.125,0,0.111,0.3
85162,0.125,0,0.111,0.3
85225,0.125,0,0.111,0.3
85230,0.125,0,0.111,0.3
85263,0.125,0,0.111,0.3
85279,0.125,0,0.111,0.3
85300,0.125,0,0.111,0.3
85315,0.125,0,0.111,0.3
85325,0.125,0,0.111,0.3
85400,0.125,0,0.111,0.3
85410,0.125,0,0.111,0.3
85430,0.125,0,0.111,0.3
85440,0.125,0,0.111,0.3
85125,0.125,0,0.111,0.3
85250,0.125,0,0.111,0.3
91001,0.25,0,0,0.5
91263,0.25,0,0,0.5
91405,0.25,0,0,0.5
91407,0.25,0,0,0.5
91430,0.25,0,0,0.5
91460,0.25,0,0,0.5
91530,0.25,0,0,0.5
91536,0.25,0,0,0.5
91540,0.25,0,0,0.5
91669,0.25,0,0,0.5
91798,0.25,0,0,0.5
97001,0.25,0,0,0.5
97161,0.25,0,0,0.5
97511,0.25,0,0,0.5
97666,0.25,0,0,0.5
97777,0.25,0,0,0.5
97889,0.25,0,0,0.5
95001,0.125,0,0.111,0.3
95015,0.125,0,0.111,0.3
95025,0.125,0,0.111,0.3
95200,0.125,0,0.111,0.3
17001,0.25,0.222,0.333,0.1
17013,0.25,0.222,0.333,0.1
17486,0.25,0.222,0.333,0.1
17446,0.25,0.222,0.333,0.1
17444,0.25,0.222,0.333,0.1
17442,0.25,0.222,0.333,0.1
17433,0.25,0.222,0.333,0.1
17388,0.25,0.222,0.333,0.1
17380,0.25,0.222,0.333,0.1
17272,0.25,0.222,0.333,0.1
17174,0.25,0.222,0.333,0.1
17088,0.25,0.222,0.333,0.1
17050,0.25,0.222,0.333,0.1
17042,0.25,0.222,0.333,0.1
17495,0.25,0.222,0.333,0.1
17877,0.25,0.222,0.333,0.1
17873,0.25,0.222,0.333,0.1
17867,0.25,0.222,0.333,0.1
17777,0.25,0.222,0.333,0.1
17665,0.25,0.222,0.333,0.1
