"MPIO_CDPMP","depto","provincia","indrur0t1","elsnl_0t1","elsnmr_0t1","clrgst_0t1","clrgwk_0t1","FID_0t1"
"05495","Antioquia","Bajo cauca",0.489181846380234,0.125,1,0.889,0,376
"05501","Antioquia","Occidente",0.93060439825058,0.875,0,0,1,375
"05541","Antioquia","Oriente",0.47636467218399,0.125,1,0.889,0,374
"05543","Antioquia","Occidente",0.716438174247742,0.875,0,0,1,373
"05576","Antioquia","Suroeste",0.48638042807579,0.125,1,0.889,0,372
"05579","Antioquia","Magdalena medio",0.170193821191788,0.125,1,0.889,0,371
"05585","Antioquia","Magdalena medio",0.695340752601624,0.875,0,0,1,370
"05591","Antioquia","Magdalena medio",0.837939620018005,0.875,0,0,1,369
"05604","Antioquia","Nordeste",0.590638756752014,0.875,0,0,1,368
"05607","Antioquia","Oriente",0.469294875860214,0.125,1,0.889,0,367
"05615","Antioquia","Oriente",0.387243926525116,0.125,1,0.889,0,366
"05628","Antioquia","Occidente",0.672829926013947,0.875,0,0,1,365
"05631","Antioquia","Valle del aburra",0.145359635353088,0.125,1,0.889,0,1120
"05642","Antioquia","Suroeste",0.632051706314087,0.875,0,0,1,364
"05647","Antioquia","Norte",0.606357991695404,0.875,0,0,1,363
"05649","Antioquia","Oriente",0.546870172023773,0.875,0,0,1,362
"05652","Antioquia","Oriente",0.559844195842743,0.875,0,0,1,361
"05656","Antioquia","Occidente",0.563570082187653,0.875,0,0,1,360
"05658","Antioquia","Norte",0.354635208845139,0.125,1,0.889,0,359
"05659","Antioquia","Urabá",0.670332968235016,0.875,0,0,1,358
"05660","Antioquia","Oriente",0.429934591054916,0.125,1,0.889,0,357
"05664","Antioquia","Norte",0.464394718408585,0.125,1,0.889,0,356
"05665","Antioquia","Urabá",0.596081733703613,0.875,0,0,1,355
"05667","Antioquia","Oriente",0.497324496507645,0.125,1,0.889,0,354
"05670","Antioquia","Nordeste",0.698824286460876,0.875,0,0,1,353
"05674","Antioquia","Oriente",0.752681851387024,0.875,0,0,1,352
"05679","Antioquia","Suroeste",0.548872470855713,0.875,0,0,1,328
"05686","Antioquia","Norte",0.452172487974167,0.125,1,0.889,0,327
"05690","Antioquia","Nordeste",0.77343875169754,0.875,0,0,1,326
"05697","Antioquia","Oriente",0.305121123790741,0.125,1,0.889,0,325
"05736","Antioquia","Nordeste",0.204934030771255,0.125,1,0.889,0,324
"05756","Antioquia","Oriente",0.527298271656036,0.875,0,0,1,323
"05761","Antioquia","Occidente",0.566730856895447,0.875,0,0,1,322
"05789","Antioquia","Suroeste",0.554327130317688,0.875,0,0,1,321
"05790","Antioquia","Bajo cauca",0.530596375465393,0.875,0,0,1,320
"05792","Antioquia","Suroeste",0.462483823299408,0.125,1,0.889,0,319
